"","id","country","location","latitude","longitude","month","year","depth","bleaching_severity","coral_family","coral_species","water_temperature"
"172",235,"Mauritius","Blue Bay marine park",-20.4132,57.7133,2,1998,"","Medium","","",""
"173",183,"Mauritius","Mauritius",-20.2909,57.7957,2,1998,"","Low","","",""
"174",2311,"Mauritius","Mauritius",-20.1333333333333,57.4666666666667,NA,1998,"","Low","","",""
"175",4023,"Mauritius","Mauritius",-20.28,57.55,5,1989,"","Severity Unknown","","All but Porites",""
"176",3898,"Mauritius","North of Rodrigues, Mauritius",-19.638,63.396,3,2002,"reef flat","High","","",""
"177",2302,"Mauritius","Rodrigues",-19.75,63.4166666666667,NA,1998,"","Low","","",""
"178",549,"Mauritius","Rodrigues",-19.8,63.3,NA,1998,"","Medium","","",""
"179",4035,"Mauritius","Rodrigues (Republic of Mauritius)",-16.743,63.397,3,2005,"1-3 m","High","","Acropora digitifera, A. austera, A. abrotanoides, A. cytherea, A. clathrata, Montipora aequituberculata, Pocillopora spp., Favia stelligera, massive Porites sp., Porites rus and Platygyra daedalea","32C"
"180",790,"Mauritius","Trou aux Biches",-20.05,57.5333,NA,1998,"","Medium","Acroporidae","Acropora",""
"181",2313,"Mauritius","Trou d'Eau Douce Fir",-20.2483333333333,57.795,4,1998,"","Low","","",""
"182",39,"Mayotte","Mayotte",-13.0668,45.1106,4,1998,"","Medium","","",""
"183",7276,"Mayotte","Mayotte",-12.77944,45.22722,5,2010,"25 m","Severity Unknown","","Acropora sp.",""
"184",788,"Réunion","Corne Nord, St Leu Ville Reef",-21.26,55.325,NA,1998,"","Low","Acroporidae","Acropora",""
"185",482,"Réunion","La Saline Lagoon",-21.16,55.28,2,2001,"","High","Acroporidae","Acropora","1.5c above mean"
"186",236,"Réunion","Planch'alizé reef flat",-21.1544,55.272,2,1998,"","Low","","",""
"187",3323,"Réunion","PlanchAlize, La Saline-les-Bains reef",-21.08,55.233,2,2001,"0.4-1.0m","Medium","","",""
"188",38,"Réunion","Reunion",-21.1135,55.2526,4,1998,"","Medium","Acroporidae, Oculinidae, Pocillopordae","Acropora, Galaxea, Pocillopora",""
"189",2328,"Réunion","Reunion",-21.1166666666667,55.5,NA,1988,"","Severity Unknown","","",""
"190",2332,"Réunion","Reunion",-21.1166666666667,55.5,NA,1998,"","Severity Unknown","","",""
"191",2333,"Réunion","Reunion",-21.1166666666667,55.5,3,1998,"","Medium","","",""
"192",184,"Réunion","Réunion",-21.258,55.3253,3,1998,"","Medium","","",""
"193",2530,"Réunion","Reunion Island",-21.1,55.2526,3,2002,"","Low","","","1 deg. C less than 2000"
"194",3324,"Réunion","Saint Leu",-21.158,55.289,3,2001,"0.4-1.0m","Low","","",""
"195",238,"Réunion","Sainte Rose",-21.1179,55.8251,2,1998,"","Low","","",""
"196",787,"Réunion","Toboggan",-21.05,55.23,NA,1998,"","Medium","Pocilloporidae","Pocillopora",""
"197",237,"Réunion","Trois Chameaux",-21.3322,55.4557,2,1998,"","No Bleaching","","",""
"198",3325,"Réunion","Trou d'Eau, La Saline-les-Bains",-21.0867,55.2407,2,2001,"0.4-1.0m","High","","",""
"199",2027,"Seychelles","Aldabra",-9.41666666666667,46.4166666666667,5,1998,"23","High","","",""
"200",453,"Seychelles","Aldabra Atoll",-9.4476,46.3991,4,1998,"15","Medium","","",""
"201",451,"Seychelles","Alphonse Atoll",-7.0113,52.7348,4,1998,"15","High","","",""
"202",531,"Seychelles","Cousine",-4.35,55.6333,NA,1998,"15m","Medium","","",""
"203",2651,"Seychelles","Cousine Island",-4.35,55.65,2,1998,"4-10m","High","","",""
"204",533,"Seychelles","Curieuse",-4.2667,55.7333,NA,1998,"15m","Medium","","",""
"205",536,"Seychelles","Felicite",-4.3333,55.8667,NA,1998,"15m","Medium","","",""
"206",535,"Seychelles","Grand Soeur",-4.2833,55.8667,NA,1998,"15m","Medium","","",""
"207",530,"Seychelles","Ile Cerf",-4.6333,55.5,NA,1998,"15m","Medium","","",""
"208",529,"Seychelles","Ile Moyenne",-4.6167,55.5,NA,1998,"15m","Medium","","",""
"209",534,"Seychelles","La Digue",-4.35,55.8333,NA,1998,"15m","Medium","","",""
"210",2647,"Seychelles","Lagoon Channel - Alphonse Atoll",-7.03,52.76,2,1998,"1-7m","Severity Unknown","","",""
"211",2062,"Seychelles","Mahè",-4.6,55.4666666666667,NA,1998,"","Low","","",""
"212",2650,"Seychelles","North West Coast St. Pierre",-9.31,50.71,2,1998,"3-30m","High","","",""
"213",2648,"Seychelles","Outer Slope West - Alphonse Atoll",-7.01,52.73,2,1998,"2-25m","High","","",""
